Property_ID,Listing_price,Data_Source,Locality,Property_Type,Built_up_area_sqfeet,Total_area_sqft,BHK,Age_of_Property,Facing_direction,Nearby_Schools,Nearby_Hospitals,Nearby_Markets,Crime_Rate_Area,Road_Connectivity,Future_Projects,Registry_Rate_per_sqft,Market_Rate_per_sqft,Last_Registry_Year,Owner_Type,Latitude,Longitude
PV0017,2322890,SYN,Aerodrome Road,Apartment,640,640,1,0-5 years,South,Yes,Yes,Yes,Low,Average,No,2854,3536,2021,Dealer,22.724887,75.797879
PV0018,6556005,SYN,Rajendra Nagar,Independent House,1693,1693,3,5-10 years,North-West,No,Yes,Yes,Low,Average,No,2595,3356,2015,Dealer,22.707846,75.865055
PV0019,2174518,SYN,Annapurna,Apartment,864,864,2,20+ years,North-East,No,No,Yes,High,Average,No,2307,2613,2003,Dealer,22.68218,75.864256
PV0020,3560720,SYN,Pipliyahana,Builder Floor,1444,1444,3,10-20 years,North,Yes,Yes,Yes,Medium,Average,Yes,2439,2901,2012,Owner,22.696879,75.919558
PV0021,1777036,SYN,Kanadiya,Apartment,1091,1091,2,20+ years,West,No,No,No,Medium,Average,No,1965,2021,1994,Owner,22.800605,75.889958
PV0022,4380188,SYN,Pipliyahana,Independent House,1623,1623,3,10-20 years,South-East,No,No,No,Medium,Good,Yes,2553,2933,2010,Owner,22.69665,75.921782
PV0023,5627627,SYN,Bicholi Mardana,Independent House,2138,2138,3,5-10 years,South-East,No,No,No,Low,Poor,Yes,2236,2275,2018,Dealer,22.782025,75.927425
PV0024,1612759,SYN,Rau,Apartment,861,861,2,5-10 years,South-West,Yes,No,Yes,Medium,Poor,Yes,1817,1860,2018,Owner,22.649649,75.808313
PV0025,5343483,SYN,Bhawarkuan,Builder Floor,1715,1715,4,5-10 years,East,Yes,No,Yes,Low,Good,No,2542,3062,2016,Dealer,22.698662,75.843425
PV0026,7238536,SYN,Vijay Nagar,Apartment,1469,1469,3,0-5 years,East,Yes,Yes,Yes,Low,Good,No,3210,4354,2024,Dealer,22.745067,75.900606
PV0027,4335554,SYN,Aerodrome Road,Apartment,1304,1304,3,10-20 years,West,Yes,Yes,Yes,Medium,Excellent,No,2783,3592,2013,Dealer,22.724815,75.800363
PV0028,1188792,SYN,Bicholi Mardana,Builder Floor,580,580,1,20+ years,East,Yes,No,No,Medium,Poor,No,2179,2361,1997,Dealer,22.778526,75.927097
PV0029,2582507,SYN,Limbodi,Independent House,1344,1344,2,10-20 years,East,No,No,No,High,Average,Yes,1943,1973,2006,Dealer,22.820287,75.912059
PV0030,3103254,SYN,Tilak Nagar,Apartment,916,916,2,0-5 years,North,Yes,Yes,No,Medium,Average,Yes,2371,2792,2022,Dealer,22.720874,75.867988
PV0031,18604859,SYN,AB Road,Villa,3441,3441,4,5-10 years,East,No,Yes,Yes,Low,Good,No,3172,4026,2019,Dealer,22.72078,75.910122
PV0032,5352799,SYN,Scheme 54,Apartment,1180,1180,3,5-10 years,East,Yes,Yes,Yes,Low,Excellent,No,2946,3937,2016,Dealer,22.727731,75.869854
PV0033,3509058,SYN,Tilak Nagar,Independent House,1685,1685,3,20+ years,South-West,No,No,No,Low,Poor,No,2348,2665,1994,Dealer,22.719562,75.864633
PV0034,5370867,SYN,Rajendra Nagar,Villa,1518,1518,2,5-10 years,North,Yes,No,Yes,High,Excellent,Yes,2629,2876,2016,Dealer,22.708337,75.863842
PV0035,7148420,SYN,Vijay Nagar,Independent House,1464,1464,2,5-10 years,North,No,Yes,Yes,Low,Good,No,3140,4138,2015,Dealer,22.74749,75.901387
PV0036,6640366,SYN,Vijay Nagar,Apartment,1535,1535,3,0-5 years,South,No,Yes,Yes,Low,Excellent,No,3193,4317,2023,Owner,22.741937,75.904743
PV0037,1917186,SYN,LIG Colony,Plot,1092,1092,0,5-10 years,West,No,Yes,Yes,High,Good,Yes,2183,2233,2018,Dealer,22.728615,75.852414
PV0038,3219699,SYN,Rajendra Nagar,Apartment,888,888,2,0-5 years,East,No,Yes,No,High,Poor,Yes,2613,3193,2020,Dealer,22.705473,75.863196
PV0039,6787525,SYN,Silicon City,Independent House,2507,2507,4,5-10 years,North,No,No,No,Medium,Poor,No,2333,2376,2019,Dealer,22.73742,75.881502
PV0040,4784656,SYN,Limbodi,Apartment,2129,2129,4,5-10 years,North-East,No,No,Yes,Medium,Good,No,1876,2082,2015,Owner,22.818714,75.912205
PV0041,11494254,SYN,Palasia,Apartment,2174,2174,4,5-10 years,East,Yes,Yes,Yes,Low,Excellent,No,3573,4856,2017,Owner,22.722756,75.880835
PV0042,3853254,SYN,Aerodrome Road,Apartment,943,943,2,0-5 years,North,Yes,Yes,Yes,Low,Good,No,2832,3587,2020,Dealer,22.721282,75.80256
PV0043,25143247,SYN,AB Road,Villa,4258,4258,4,0-5 years,South-East,Yes,Yes,Yes,Low,Excellent,No,3114,4314,2022,Dealer,22.722846,75.909483
PV0044,4311022,SYN,Super Corridor,Villa,1352,1352,2,10-20 years,South,Yes,No,No,Medium,Average,No,2452,2540,2011,Owner,22.790459,75.902767
PV0045,2666337,SYN,Tilak Nagar,Apartment,1039,1039,2,10-20 years,East,Yes,No,Yes,Low,Average,No,2451,2566,2010,Dealer,22.721126,75.86875
PV0046,2861499,SYN,Pipliyahana,Apartment,968,968,2,5-10 years,North,Yes,Yes,Yes,Low,Good,No,2498,2874,2015,Owner,22.696992,75.919237
PV0047,2512154,SYN,Mahalaxmi Nagar,Apartment,920,920,2,20+ years,East,No,No,Yes,Medium,Excellent,Yes,2520,3164,1999,Dealer,22.70921,75.860754
PV0048,3238546,SYN,Tilak Nagar,Apartment,965,965,2,0-5 years,East,Yes,No,Yes,Medium,Poor,Yes,2385,2762,2024,Dealer,22.721401,75.867389
PV0049,2652347,SYN,Annapurna,Apartment,1059,1059,2,10-20 years,East,No,Yes,Yes,Medium,Good,Yes,2294,2357,2010,Owner,22.68379,75.865445
PV0050,2654617,SYN,Pipliyahana,Independent House,821,821,1,5-10 years,North-West,Yes,Yes,Yes,Medium,Good,No,2497,2890,2015,Owner,22.695655,75.917414
PV0051,2294496,SYN,Aerodrome Road,Apartment,638,638,1,5-10 years,East,No,Yes,Yes,Low,Good,No,2746,3517,2018,Dealer,22.719423,75.800658
PV0052,7948141,SYN,Scheme 54,Apartment,2254,2254,4,10-20 years,West,Yes,Yes,Yes,Low,Average,No,2944,3768,2010,Dealer,22.7279,75.86817
PV0053,3018195,SYN,Banganga,Apartment,1175,1175,3,0-5 years,North,Yes,No,Yes,Medium,Poor,Yes,2124,2252,2023,Owner,22.711885,75.830746
PV0054,4928871,SYN,Nipania,Apartment,1311,1311,3,0-5 years,West,No,No,Yes,Low,Poor,No,2652,3219,2022,Owner,22.754428,75.923527
PV0055,2710392,SYN,Super Corridor,Apartment,887,887,2,5-10 years,North,Yes,No,Yes,Medium,Average,No,2340,2908,2018,Dealer,22.79149,75.902528
PV0056,1933081,SYN,Bhawarkuan,Builder Floor,589,589,1,0-5 years,North-East,No,No,Yes,Medium,Poor,No,2460,3074,2024,Dealer,22.692486,75.839714
PV0057,6074478,SYN,Niranjanpur,Builder Floor,1530,1530,3,0-5 years,North,No,Yes,Yes,High,Poor,Yes,2657,3345,2022,Owner,22.762646,75.918801
PV0058,2267083,SYN,Super Corridor,Independent House,819,819,1,10-20 years,East,No,No,No,Low,Excellent,No,2465,2792,2005,Dealer,22.788882,75.900862
PV0059,11782257,SYN,AB Road,Villa,2215,2215,3,0-5 years,West,Yes,Yes,Yes,Low,Excellent,Yes,3102,3824,2021,Dealer,22.724445,75.91252
PV0060,12009173,SYN,AB Road,Apartment,2742,2742,4,0-5 years,South-East,Yes,Yes,No,Medium,Good,No,3143,3821,2021,Dealer,22.722485,75.909066
PV0061,2489645,SYN,MR 10,Builder Floor,859,859,2,5-10 years,East,Yes,Yes,Yes,Low,Good,Yes,2666,3006,2018,Owner,22.768485,75.902874
PV0062,3573646,SYN,Rau,Builder Floor,1705,1705,3,5-10 years,East,Yes,Yes,No,Medium,Average,No,1761,2007,2019,Dealer,22.647209,75.812709
PV0063,3307891,SYN,Kanadiya,Apartment,1300,1300,3,0-5 years,East,No,No,Yes,Medium,Average,Yes,1980,2243,2022,Owner,22.799653,75.890004
PV0064,4647861,SYN,Nipania,Builder Floor,1229,1229,3,10-20 years,North-East,Yes,No,No,Low,Average,Yes,2768,3593,2014,Dealer,22.754365,75.923399
PV0065,12886655,SYN,Aerodrome Road,Villa,2815,2815,3,0-5 years,South,Yes,No,Yes,Medium,Good,No,2871,3609,2020,Dealer,22.718794,75.800242
PV0066,7442210,SYN,Mahalaxmi Nagar,Independent House,2118,2118,3,5-10 years,East,Yes,No,No,Medium,Excellent,No,2520,3205,2019,Owner,22.712096,75.85856
PV0067,5123689,SYN,Vijay Nagar,Apartment,1254,1254,3,10-20 years,North,Yes,Yes,Yes,Medium,Good,No,3123,4398,2005,Owner,22.744467,75.901592
PV0068,4669301,SYN,Silicon City,Independent House,2118,2118,3,20+ years,West,No,No,No,Medium,Good,No,2321,2422,1993,Owner,22.738804,75.883269
PV0069,3790951,SYN,Bhawarkuan,Builder Floor,1213,1213,3,5-10 years,North,Yes,No,Yes,High,Good,Yes,2530,2903,2015,Dealer,22.694106,75.840741
PV0070,5079437,SYN,Scheme 54,Apartment,1374,1374,3,10-20 years,North-West,Yes,Yes,Yes,Medium,Poor,No,2896,3524,2007,Owner,22.732103,75.866724
PV0071,2449873,SYN,Pardesipura,Builder Floor,1039,1039,2,10-20 years,North,Yes,Yes,Yes,Medium,Average,No,2243,2468,2014,Dealer,22.768757,75.875322
PV0072,8458051,SYN,AB Road,Apartment,1691,1691,3,0-5 years,West,Yes,Yes,Yes,Low,Good,No,3035,4257,2022,Dealer,22.720054,75.914459
PV0073,3409104,SYN,Silicon City,Independent House,1215,1215,2,5-10 years,West,No,No,No,High,Good,No,2270,2392,2019,Owner,22.738926,75.876559
PV0074,12107890,SYN,Vijay Nagar,Apartment,2608,2608,4,0-5 years,South,Yes,Yes,Yes,Medium,Good,No,3216,4285,2024,Dealer,22.748716,75.899112
PV0075,7712396,SYN,Vijay Nagar,Apartment,1378,1378,3,5-10 years,South-West,Yes,Yes,Yes,Low,Good,No,3263,4941,2016,Dealer,22.746899,75.899309
PV0076,8503278,SYN,AB Road,Apartment,2289,2289,4,10-20 years,West,Yes,No,Yes,Medium,Good,No,3033,4038,2013,Owner,22.719005,75.913738
PV0077,5081848,SYN,Bhawarkuan,Apartment,1489,1489,3,0-5 years,South-West,Yes,Yes,Yes,Medium,Good,Yes,2515,3170,2024,Dealer,22.693668,75.840604
PV0078,2637563,SYN,MR 10,Apartment,907,907,2,10-20 years,South-West,Yes,No,Yes,High,Average,No,2662,3160,2009,Dealer,22.771391,75.904896
PV0079,5577569,SYN,Tilak Nagar,Independent House,2016,2016,3,10-20 years,West,No,No,Yes,Medium,Average,Yes,2397,2525,2011,Owner,22.723651,75.865063
PV0080,6587183,SYN,Tilak Nagar,Villa,2341,2341,3,10-20 years,West,No,No,Yes,Medium,Excellent,No,2333,2868,2011,Dealer,22.71739,75.862849
PV0081,4705812,SYN,Mahalaxmi Nagar,Independent House,1764,1764,3,20+ years,West,Yes,Yes,No,Low,Average,No,2445,2856,2000,Owner,22.710231,75.858851
PV0082,6138736,SYN,Palasia,Apartment,1074,1074,2,0-5 years,East,Yes,Yes,Yes,Low,Good,No,3557,5068,2024,Dealer,22.727516,75.880469
PV0083,5014381,SYN,Scheme 54,Apartment,1013,1013,2,0-5 years,East,Yes,Yes,Yes,Low,Good,No,2896,4333,2021,Dealer,22.729311,75.866812
PV0084,4775434,SYN,Scheme 54,Apartment,1077,1077,2,5-10 years,North-West,Yes,Yes,Yes,Medium,Excellent,No,2968,3951,2017,Owner,22.728071,75.867945
PV0085,4249841,SYN,Pipliyahana,Apartment,1470,1470,3,5-10 years,East,Yes,No,Yes,High,Good,Yes,2499,2774,2016,Dealer,22.695454,75.917321
PV0086,2853085,SYN,Silicon City,Plot,1211,1211,0,0-5 years,North,No,No,No,Low,Average,Yes,2342,2587,2024,Dealer,22.742524,75.877407
PV0087,2878050,SYN,Silicon City,Independent House,767,767,1,0-5 years,East,Yes,No,Yes,High,Average,No,2363,2790,2022,Dealer,22.740652,75.880582
PV0088,7111503,SYN,Aerodrome Road,Apartment,1653,1653,3,5-10 years,North,Yes,Yes,Yes,Low,Average,Yes,2827,3873,2018,Dealer,22.721511,75.804371
PV0089,1871451,SYN,Bhawarkuan,Builder Floor,658,658,1,20+ years,West,No,Yes,Yes,High,Good,Yes,2551,3374,1992,Dealer,22.697124,75.840555
PV0090,5618781,SYN,Scheme 54,Apartment,1249,1249,3,5-10 years,North-East,Yes,Yes,Yes,Low,Good,No,2955,3824,2015,Dealer,22.729679,75.866956
PV0091,1242285,SYN,Kanadiya,Apartment,570,570,1,20+ years,North,No,No,No,Medium,Good,Yes,2003,2294,1991,Dealer,22.798041,75.893356
PV0092,2827231,SYN,Sudama Nagar,Plot,1379,1379,0,5-10 years,East,No,No,Yes,Medium,Good,Yes,2213,2373,2015,Owner,22.688902,75.842899
PV0093,4403929,SYN,Nipania,Apartment,1280,1280,3,10-20 years,West,Yes,Yes,No,Low,Excellent,No,2664,3370,2008,Dealer,22.755808,75.920266
PV0094,7333938,SYN,Rajendra Nagar,Apartment,2168,2168,4,5-10 years,West,Yes,No,Yes,Low,Average,Yes,2559,3082,2017,Owner,22.702852,75.864504
PV0095,2438778,SYN,Bicholi Mardana,Plot,1209,1209,0,5-10 years,North-West,No,No,Yes,Medium,Average,No,2155,2301,2017,Owner,22.779811,75.931618
PV0096,1727319,SYN,Annapurna,Builder Floor,875,875,2,20+ years,North,Yes,No,Yes,High,Average,No,2364,2468,1998,Owner,22.685769,75.863891
PV0097,5219264,SYN,Sudama Nagar,Builder Floor,2147,2147,4,5-10 years,South-West,Yes,No,Yes,Medium,Poor,No,2235,2337,2019,Dealer,22.686516,75.839976
PV0098,2710473,SYN,Limbodi,Apartment,1149,1149,2,0-5 years,North,Yes,Yes,No,High,Good,Yes,1906,1992,2023,Dealer,22.819905,75.909365
PV0099,10700412,SYN,Vijay Nagar,Independent House,2030,2030,3,5-10 years,South,Yes,Yes,Yes,Low,Good,Yes,3175,4638,2015,Owner,22.742412,75.901509
PV0100,3591703,SYN,Limbodi,Apartment,1453,1453,3,0-5 years,East,No,No,Yes,Medium,Poor,No,1876,2130,2020,Dealer,22.820493,75.912218
PV0101,4981646,SYN,Palasia,Builder Floor,896,896,2,0-5 years,North,Yes,Yes,Yes,Medium,Excellent,No,3564,5313,2024,Owner,22.72697,75.884042
PV0102,2725987,SYN,Mahalaxmi Nagar,Apartment,977,977,2,5-10 years,South,Yes,Yes,Yes,Medium,Good,Yes,2536,2728,2017,Owner,22.711902,75.857215
PV0103,7039607,SYN,Scheme 54,Builder Floor,1822,1822,4,10-20 years,North,Yes,No,Yes,High,Good,No,2964,3812,2013,Dealer,22.731907,75.869003
PV0104,21840881,SYN,Palasia,Villa,2733,2733,3,0-5 years,East,Yes,Yes,Yes,Low,Excellent,No,3518,5514,2022,Dealer,22.721639,75.882987
PV0105,6340826,SYN,Scheme 54,Apartment,1401,1401,3,0-5 years,North,Yes,Yes,Yes,Low,Poor,Yes,2971,3930,2022,Owner,22.729255,75.873102
PV0106,5360359,SYN,AB Road,Apartment,1387,1387,3,5-10 years,West,Yes,Yes,No,Low,Excellent,Yes,3018,4057,2019,Dealer,22.720566,75.915892
PV0107,6668026,SYN,Bhawarkuan,Independent House,1996,1996,3,5-10 years,South,Yes,No,No,Medium,Excellent,No,2434,2801,2016,Dealer,22.694458,75.840289
PV0108,3836452,SYN,Bicholi Hapsi,Apartment,1425,1425,3,5-10 years,North,No,No,No,Medium,Average,No,2099,2380,2015,Dealer,22.78766,75.937161
PV0109,3617197,SYN,AB Road,Apartment,832,832,2,5-10 years,South-West,Yes,Yes,Yes,High,Good,Yes,3024,3912,2015,Dealer,22.719083,75.911059
PV0110,4166512,SYN,Bhawarkuan,Apartment,1203,1203,3,10-20 years,North,No,Yes,Yes,Medium,Good,No,2458,3368,2008,Dealer,22.694169,75.836949
PV0111,6948255,SYN,Mahalaxmi Nagar,Builder Floor,2775,2775,4,20+ years,West,Yes,Yes,Yes,High,Average,No,2444,2901,1996,Owner,22.710025,75.862385
PV0112,3719957,SYN,Pipliyahana,Villa,987,987,1,10-20 years,East,No,No,Yes,Low,Good,No,2482,3042,2008,Owner,22.698725,75.920636
PV0113,5112833,SYN,Scheme 54,Apartment,1234,1234,3,5-10 years,North-East,Yes,No,Yes,Low,Poor,No,2976,3775,2019,Dealer,22.730801,75.866823
PV0114,12723491,SYN,Vijay Nagar,Builder Floor,2469,2469,4,0-5 years,East,Yes,Yes,Yes,Low,Poor,No,3185,4436,2024,Dealer,22.743935,75.905378
PV0115,1857944,SYN,Rau,Apartment,860,860,2,10-20 years,North,Yes,No,No,High,Average,Yes,1808,2110,2011,Owner,22.648957,75.809719
PV0116,5142475,SYN,Scheme 54,Apartment,1492,1492,3,5-10 years,South-West,Yes,Yes,Yes,Low,Excellent,No,2914,3641,2017,Owner,22.727726,75.868428
PV0117,4038611,SYN,Pipliyahana,Builder Floor,1479,1479,3,10-20 years,East,Yes,Yes,Yes,Low,Average,No,2502,2746,2006,Dealer,22.697149,75.917351
PV0118,2194749,SYN,Bicholi Hapsi,Builder Floor,926,926,2,5-10 years,East,Yes,Yes,Yes,High,Average,No,2143,2279,2018,Dealer,22.788783,75.936612
PV0119,7641293,SYN,AB Road,Apartment,1311,1311,3,5-10 years,South-East,Yes,Yes,Yes,Low,Excellent,No,3073,4368,2015,Dealer,22.717844,75.914974
PV0120,12326805,SYN,Aerodrome Road,Villa,2837,2837,3,5-10 years,South,Yes,Yes,Yes,Low,Excellent,No,2773,3353,2016,Owner,22.723718,75.803382
PV0121,2715526,SYN,Super Corridor,Independent House,745,745,1,0-5 years,North-East,Yes,Yes,No,Medium,Good,No,2356,2843,2024,Owner,22.789899,75.898898
PV0122,3744669,SYN,Rajendra Nagar,Apartment,951,951,2,0-5 years,North,Yes,No,Yes,Medium,Good,No,2633,3201,2023,Owner,22.70744,75.866171
PV0123,8567412,SYN,Palasia,Apartment,1427,1427,3,5-10 years,South,Yes,No,Yes,Medium,Good,No,3446,5583,2017,Owner,22.727704,75.881967
PV0124,2247741,SYN,Sudama Nagar,Independent House,785,785,1,5-10 years,East,No,No,Yes,Medium,Poor,Yes,2199,2413,2019,Owner,22.688319,75.83742
PV0125,10345856,SYN,AB Road,Builder Floor,2116,2116,4,0-5 years,North-West,No,Yes,Yes,Low,Good,No,3030,4301,2023,Owner,22.721418,75.911634
PV0126,3403666,SYN,Aerodrome Road,Apartment,1021,1021,2,10-20 years,North-West,Yes,No,Yes,Low,Poor,No,2781,3619,2005,Dealer,22.720779,75.801179
PV0127,1306486,SYN,Tilak Nagar,Builder Floor,484,484,1,0-5 years,East,No,Yes,Yes,Medium,Average,No,2378,2568,2023,Owner,22.719844,75.864788
PV0128,5536551,SYN,Vijay Nagar,Apartment,1118,1118,2,0-5 years,East,Yes,Yes,Yes,Low,Good,No,3153,4340,2024,Dealer,22.74552,75.899773
PV0129,7054355,SYN,Aerodrome Road,Apartment,1543,1543,3,5-10 years,South,No,Yes,Yes,Low,Good,No,2729,3893,2017,Dealer,22.71836,75.80401
PV0130,5249029,SYN,Kanadiya,Independent House,1890,1890,3,5-10 years,North,Yes,No,No,High,Good,No,2020,2333,2017,Dealer,22.802265,75.891453
PV0131,3660615,SYN,Banganga,Independent House,1282,1282,2,0-5 years,West,Yes,Yes,No,Medium,Good,Yes,2099,2384,2022,Dealer,22.710621,75.827488
PV0132,6751904,SYN,Nipania,Builder Floor,1643,1643,3,0-5 years,East,Yes,Yes,No,Medium,Excellent,Yes,2654,3363,2022,Dealer,22.755077,75.919707
PV0133,8922517,SYN,Scheme 54,Apartment,2227,2227,4,5-10 years,South,Yes,No,Yes,Low,Good,Yes,2872,3884,2017,Owner,22.732679,75.870208
PV0134,2996141,SYN,LIG Colony,Apartment,1318,1318,3,10-20 years,North,Yes,No,Yes,Low,Average,No,2257,2250,2007,Dealer,22.728459,75.852358
PV0135,5892152,SYN,Nipania,Apartment,1578,1578,3,0-5 years,West,Yes,Yes,Yes,Low,Excellent,Yes,2768,3248,2021,Dealer,22.75719,75.922227
PV0136,2208280,SYN,Pipliyahana,Independent House,683,683,1,0-5 years,North,Yes,No,Yes,Low,Average,No,2462,2669,2023,Owner,22.700236,75.923281
PV0137,1685076,SYN,Limbodi,Builder Floor,977,977,2,10-20 years,North,Yes,No,Yes,Medium,Excellent,No,1943,1988,2011,Owner,22.817953,75.907082
PV0138,3721044,SYN,Super Corridor,Villa,907,907,1,0-5 years,North,Yes,Yes,No,Medium,Poor,Yes,2469,2872,2023,Dealer,22.790222,75.898318
PV0139,1504133,SYN,Kanadiya,Independent House,687,687,1,5-10 years,South-West,No,No,Yes,High,Average,Yes,1951,2073,2017,Dealer,22.797753,75.892623
PV0140,3148866,SYN,Mahalaxmi Nagar,Apartment,935,935,2,5-10 years,North,No,Yes,Yes,Low,Good,No,2453,3024,2017,Owner,22.713692,75.861137
PV0141,10216001,SYN,AB Road,Villa,1841,1841,2,5-10 years,East,Yes,Yes,Yes,Low,Excellent,No,3051,4145,2017,Owner,22.721391,75.910314
PV0142,2009482,SYN,Pipliyahana,Apartment,847,847,2,20+ years,East,Yes,No,Yes,Low,Excellent,No,2506,2839,1996,Owner,22.700655,75.919719
PV0143,4331009,SYN,MR 10,Builder Floor,1365,1365,3,0-5 years,North,No,No,No,High,Average,Yes,2573,2894,2020,Dealer,22.766646,75.905519
PV0144,8564503,SYN,AB Road,Independent House,1953,1953,3,5-10 years,South-East,Yes,Yes,Yes,Low,Good,Yes,3148,4125,2018,Owner,22.722753,75.912342
PV0145,5685140,SYN,Vijay Nagar,Apartment,1489,1489,3,20+ years,South-East,Yes,Yes,Yes,Low,Good,No,3151,4433,1993,Dealer,22.746037,75.898448
PV0146,3009890,SYN,Niranjanpur,Apartment,946,946,2,0-5 years,East,Yes,No,No,Medium,Average,No,2580,2864,2022,Dealer,22.76254,75.917527
PV0147,5114542,SYN,Scheme 54,Apartment,1440,1440,3,10-20 years,South,Yes,No,Yes,Low,Poor,No,2848,3691,2006,Owner,22.732419,75.867869
PV0148,4760054,SYN,Super Corridor,Apartment,1475,1475,3,0-5 years,North,Yes,No,Yes,Low,Good,Yes,2416,2549,2021,Dealer,22.791223,75.898442
PV0149,2429133,SYN,Kanadiya,Apartment,1198,1198,3,5-10 years,West,No,No,No,Low,Good,Yes,1983,2036,2018,Dealer,22.798098,75.892683
PV0150,3356171,SYN,Pardesipura,Villa,1014,1014,1,0-5 years,North,Yes,Yes,No,Medium,Excellent,No,2232,2573,2022,Dealer,22.764,75.874297
PV0151,2071049,SYN,Kanadiya,Apartment,969,969,2,0-5 years,South-West,No,Yes,Yes,Medium,Poor,Yes,1961,2002,2021,Owner,22.802641,75.894862
PV0152,10542314,SYN,Vijay Nagar,Independent House,1990,1990,3,0-5 years,South,Yes,Yes,Yes,Low,Excellent,No,3144,4355,2020,Owner,22.747051,75.899574
PV0153,1616567,SYN,Rau,Apartment,953,953,2,20+ years,East,No,No,Yes,Medium,Average,No,1752,1859,1994,Dealer,22.652514,75.807392
PV0154,5274820,SYN,Bicholi Hapsi,Independent House,2070,2070,3,0-5 years,North,No,Yes,No,Medium,Average,No,2098,2281,2024,Owner,22.788436,75.936768
PV0155,4325783,SYN,Pipliyahana,Apartment,1658,1658,3,20+ years,East,Yes,Yes,Yes,Low,Average,No,2574,2979,2000,Dealer,22.698338,75.922513
PV0156,4477223,SYN,Tilak Nagar,Independent House,1552,1552,2,0-5 years,West,Yes,Yes,No,Low,Average,Yes,2409,2639,2021,Owner,22.716777,75.866093
PV0157,1428173,SYN,Silicon City,Apartment,551,551,1,5-10 years,North,No,Yes,No,High,Average,No,2248,2450,2017,Owner,22.743364,75.877639
PV0158,2570681,SYN,Limbodi,Builder Floor,1000,1000,2,0-5 years,East,No,Yes,Yes,Medium,Good,Yes,1925,2138,2024,Dealer,22.823428,75.913642
PV0159,4852647,SYN,Pipliyahana,Apartment,1615,1615,3,5-10 years,North,No,Yes,Yes,Low,Good,No,2532,2828,2015,Dealer,22.698295,75.92018
PV0160,3419826,SYN,Banganga,Apartment,1320,1320,3,5-10 years,North,No,No,No,High,Excellent,Yes,2143,2358,2015,Owner,22.7098,75.831832
PV0161,3356919,SYN,Aerodrome Road,Apartment,806,806,2,0-5 years,East,Yes,Yes,Yes,Low,Excellent,Yes,2857,3608,2023,Owner,22.722626,75.798564
