Property_ID,Listing price,Data Source,Locality,Property_Type,Built_up_area_sqfeet,Total_area_sqft,BHK,Age_of_Property,Facing_direction,Nearby_Schools,Nearby_Hospitals,Nearby_Markets,Crime_Rate_Area,Road_Connectivity,Future_Projects,Registry_Rate_per_sqft,Market_Rate_per_sqft,Last_Registry_Year,Owner_Type,Latitude,Longitude,Remarks,Listing_price,Data_Source
PV17,4046160.0,MB,Vigyan Nagar,Apartment,1699,1699,4,0-5 years,South,Yes,No,Yes,Medium,Good,No,2117.0,2383,2022,Owner,22.72390812,75.85821541,,,
PV18,3492913.0,MB,Vigyan Nagar,Apartment,1388,1388,4,0-5 years,South,Yes,Yes,No,Medium,Poor,Yes,2378.0,2424,2018,Owner,22.71814872,75.85250025,,,
PV19,5303567.0,MB,Vigyan Nagar,Apartment,1321,1321,2,10-20 years,West,Yes,No,No,Medium,Average,No,3685.0,4029,2021,Dealer,22.72325684,75.85276315,,,
PV20,8146680.0,MB,Vigyan Nagar,Apartment,1957,1957,3,5-10 years,North,No,Yes,Yes,Low,Good,No,3557.0,4068,2017,Dealer,22.71438532,75.84773021,,,
PV21,3020919.0,MB,Vigyan Nagar,Apartment,1315,1315,4,5-10 years,North,Yes,Yes,Yes,High,Poor,No,1983.0,2405,2021,Owner,22.72958399,75.86488958,,,
PV22,4817848.0,MB,Vigyan Nagar,Apartment,1247,1247,3,0-5 years,West,Yes,Yes,Yes,Medium,Average,No,3579.0,3780,2015,Dealer,22.71541181,75.85731397,,,
PV23,2474574.0,MB,Vigyan Nagar,Apartment,926,926,4,0-5 years,North,Yes,No,Yes,Low,Average,Yes,2363.0,2635,2019,Dealer,22.72090997,75.85034491,,,
PV24,4794117.0,MB,Vigyan Nagar,Apartment,1896,1896,2,10-20 years,South,Yes,Yes,Yes,High,Good,Yes,2328.0,2427,2020,Dealer,22.72636678,75.85685012,,,
PV25,4345008.0,MB,Vigyan Nagar,Apartment,1659,1659,3,10-20 years,North,Yes,No,Yes,High,Good,Yes,2384.0,2684,2019,Dealer,22.71297478,75.85636687,,,
PV26,4527867.0,MB,Vigyan Nagar,Apartment,1159,1159,3,10-20 years,East,No,Yes,Yes,Medium,Good,No,3338.0,4007,2020,Dealer,22.72263598,75.86583221,,,
PV27,4376062.0,MB,Vigyan Nagar,Apartment,1260,1260,3,10-20 years,North,No,No,Yes,Medium,Poor,No,3048.0,3524,2023,Owner,22.71389534,75.86747389,,,
PV28,2267797.0,MB,Vigyan Nagar,Apartment,985,985,3,5-10 years,North,Yes,Yes,Yes,Medium,Poor,Yes,2034.0,2302,2018,Dealer,22.72735815,75.85336087,,,
PV29,4874971.0,MB,Vigyan Nagar,Apartment,1966,1966,2,5-10 years,East,Yes,Yes,No,Medium,Average,Yes,2244.0,2562,2015,Dealer,22.71383068,75.8676291,,,
PV30,3855638.0,MB,Vigyan Nagar,Apartment,1610,1610,3,5-10 years,East,No,Yes,No,Medium,Poor,No,2192.0,2363,2023,Dealer,22.71871538,75.84785954,,,
PV31,5974933.0,MB,Vigyan Nagar,Apartment,1540,1540,2,0-5 years,East,Yes,Yes,No,Medium,Average,No,3667.0,4037,2018,Owner,22.72305771,75.85859517,,,
PV32,2338658.0,MB,Vigyan Nagar,Apartment,924,924,3,0-5 years,West,No,Yes,No,Medium,Poor,No,2385.0,2479,2017,Dealer,22.7285614,75.85525878,,,
PV33,2520014.0,MB,Vigyan Nagar,Apartment,957,957,3,0-5 years,West,Yes,No,Yes,Medium,Good,No,2249.0,2726,2019,Dealer,22.72312248,75.86343304,,,
PV34,2587471.0,MB,Vigyan Nagar,Apartment,1115,1115,2,0-5 years,North,No,Yes,Yes,Low,Average,No,2108.0,2252,2020,Dealer,22.72954987,75.85915857,,,
PV35,5933099.0,MB,Vigyan Nagar,Apartment,1499,1499,2,5-10 years,West,No,Yes,Yes,High,Poor,No,3747.0,3856,2020,Dealer,22.72507023,75.84909653,,,
PV36,3509369.0,MB,Vigyan Nagar,Apartment,833,833,4,5-10 years,South,Yes,Yes,No,Medium,Average,No,3678.0,4091,2016,Dealer,22.71851234,75.8557888,,,
PV37,6088643.0,MB,Vigyan Nagar,Apartment,1480,1480,4,0-5 years,North,No,No,No,Medium,Poor,No,3666.0,3975,2017,Owner,22.71870365,75.86338503,,,
PV38,2744757.0,MB,Vigyan Nagar,Apartment,1170,1170,2,5-10 years,South,Yes,Yes,Yes,Low,Poor,No,2137.0,2347,2023,Dealer,22.71319388,75.86445437,,,
PV39,5968463.0,MB,Vigyan Nagar,Apartment,1623,1623,4,10-20 years,North,No,No,No,Low,Average,No,3414.0,3815,2020,Owner,22.72500671,75.86397977,,,
PV40,4628287.0,MB,Vigyan Nagar,Apartment,1959,1959,2,10-20 years,South,No,No,Yes,Low,Average,No,2115.0,2470,2022,Dealer,22.71904552,75.85717675,,,
PV41,2737380.0,MB,Vigyan Nagar,Apartment,1077,1077,3,0-5 years,North,Yes,No,Yes,Low,Poor,No,2314.0,2437,2019,Owner,22.71666131,75.86218782,,,
PV42,3479204.0,MB,Vigyan Nagar,Apartment,852,852,4,10-20 years,West,No,Yes,Yes,Medium,Poor,Yes,3559.0,4120,2023,Owner,22.72198502,75.85284594,,,
PV43,6038814.0,MB,Vigyan Nagar,Apartment,1571,1571,2,5-10 years,East,Yes,Yes,Yes,Medium,Good,Yes,3560.0,4025,2018,Owner,22.72681508,75.86209021,,,
PV44,4023714.0,MB,Vigyan Nagar,Apartment,1505,1505,3,5-10 years,West,Yes,Yes,Yes,Low,Average,No,2394.0,2582,2020,Dealer,22.71123531,75.85241852,,,
PV45,4446567.0,MB,Vigyan Nagar,Apartment,1214,1214,3,10-20 years,West,Yes,Yes,Yes,Medium,Average,No,3174.0,3496,2019,Owner,22.71998728,75.8572908,,,
PV46,3606671.0,MB,Vigyan Nagar,Apartment,1456,1456,4,5-10 years,West,Yes,No,Yes,High,Poor,No,2172.0,2547,2022,Owner,22.70976199,75.8558536,,,
PV47,4467824.0,MB,Vigyan Nagar,Apartment,1870,1870,2,10-20 years,South,No,No,No,Medium,Poor,Yes,2204.0,2310,2015,Owner,22.71652906,75.86464922,,,
PV48,2850700.0,MB,Vigyan Nagar,Apartment,1075,1075,2,0-5 years,North,Yes,No,No,High,Poor,Yes,2501.0,2533,2016,Dealer,22.72795649,75.85291743,,,
PV49,3308226.0,MB,Vigyan Nagar,Apartment,1339,1339,4,5-10 years,East,No,No,No,Medium,Good,No,2242.0,2513,2018,Dealer,22.72489418,75.85194379,,,
PV50,4362113.0,MB,Vigyan Nagar,Apartment,1939,1939,4,5-10 years,West,Yes,Yes,Yes,Low,Average,Yes,2077.0,2151,2015,Owner,22.72039525,75.86656804,,,
PV51,3847675.0,MB,Vigyan Nagar,Apartment,968,968,2,0-5 years,West,Yes,No,Yes,Medium,Average,Yes,3601.0,3937,2015,Owner,22.72474432,75.85668294,,,
PV52,4023453.0,MB,Vigyan Nagar,Apartment,1592,1592,2,5-10 years,North,No,No,Yes,Medium,Poor,Yes,2225.0,2461,2022,Owner,22.72421364,75.85214754,,,
PV53,6142115.0,MB,Vigyan Nagar,Apartment,1467,1467,4,0-5 years,North,Yes,Yes,Yes,Low,Good,Yes,3962.0,4148,2020,Owner,22.72323428,75.84793578,,,
PV54,4655771.0,MB,Vigyan Nagar,Apartment,1762,1762,2,0-5 years,West,No,Yes,Yes,Medium,Average,Yes,2438.0,2587,2020,Owner,22.72100803,75.86438834,,,
PV55,4302216.0,MB,Vigyan Nagar,Apartment,1241,1241,2,10-20 years,South,Yes,No,Yes,Low,Poor,No,2965.0,3415,2017,Owner,22.7110604,75.86698365,,,
PV56,4038159.0,MB,Vigyan Nagar,Apartment,997,997,4,0-5 years,North,No,No,Yes,High,Good,No,3844.0,3968,2017,Dealer,22.72693104,75.86101177,,,
PV57,3146845.0,MB,Vigyan Nagar,Apartment,1355,1355,4,0-5 years,East,Yes,Yes,No,Medium,Good,No,1987.0,2434,2017,Dealer,22.71444216,75.84965736,,,
PV58,4047853.0,MB,Vigyan Nagar,Apartment,1788,1788,4,10-20 years,North,Yes,Yes,Yes,Medium,Poor,No,1984.0,2299,2021,Owner,22.7274687,75.86158318,,,
PV59,6534215.0,MB,Vigyan Nagar,Apartment,1680,1680,4,0-5 years,North,Yes,Yes,Yes,High,Good,Yes,3688.0,3919,2015,Dealer,22.71248546,75.86079982,,,
PV60,4384418.0,MB,Vigyan Nagar,Apartment,1825,1825,2,0-5 years,South,No,No,Yes,Medium,Good,No,2198.0,2376,2017,Dealer,22.72120007,75.8606444,,,
PV61,3426417.0,MB,Vigyan Nagar,Apartment,899,899,2,10-20 years,South,Yes,Yes,Yes,High,Poor,Yes,3279.0,3852,2015,Owner,22.71190294,75.85983386,,,
PV62,2376312.0,MB,Vigyan Nagar,Apartment,928,928,4,5-10 years,North,No,No,Yes,High,Good,Yes,2216.0,2672,2016,Dealer,22.7180271,75.85452034,,,
PV63,8110295.0,MB,Vigyan Nagar,Apartment,1973,1973,4,10-20 years,East,Yes,Yes,Yes,High,Poor,No,3653.0,3995,2019,Owner,22.71874501,75.85773425,,,
PV64,3507175.0,MB,Vigyan Nagar,Apartment,1531,1531,3,5-10 years,East,Yes,No,No,High,Average,No,2086.0,2378,2017,Dealer,22.7268627,75.86338595,,,
PV65,5706642.0,MB,Vigyan Nagar,Apartment,1385,1385,3,0-5 years,West,Yes,No,No,High,Average,No,3579.0,4035,2016,Owner,22.71547626,75.85827049,,,
PV66,3944580.0,MB,Vigyan Nagar,Apartment,1492,1492,2,10-20 years,North,No,No,No,Medium,Poor,No,2415.0,2564,2022,Dealer,22.71241421,75.86462049,,,
PV67,3826522.0,MB,Vigyan Nagar,Apartment,1008,1008,4,0-5 years,West,No,Yes,No,Medium,Average,Yes,3315.0,3629,2022,Owner,22.71701273,75.86423278,,,
PV68,2204694.0,MB,Vigyan Nagar,Apartment,897,897,3,5-10 years,South,No,Yes,No,Medium,Good,No,2280.0,2471,2022,Dealer,22.71935055,75.8485698,,,
PV69,3959951.0,MB,Vigyan Nagar,Apartment,1011,1011,2,0-5 years,North,No,Yes,No,Medium,Average,No,3437.0,3977,2015,Dealer,22.72498366,75.86180292,,,
PV70,4670726.0,MB,Vigyan Nagar,Apartment,1309,1309,4,10-20 years,North,No,Yes,Yes,High,Average,No,3341.0,3432,2016,Owner,22.71563944,75.84989366,,,
PV71,7248239.0,MB,Vigyan Nagar,Apartment,1906,1906,2,10-20 years,South,Yes,No,Yes,High,Poor,Yes,3467.0,3687,2023,Dealer,22.72932636,75.84893808,,,
PV72,6766608.0,MB,Vigyan Nagar,Apartment,1712,1712,3,5-10 years,West,Yes,Yes,Yes,Medium,Average,No,3407.0,3953,2022,Owner,22.7219833,75.86207018,,,
PV73,3022142.0,MB,Vigyan Nagar,Apartment,868,868,2,10-20 years,North,No,No,No,Medium,Good,Yes,3020.0,3641,2017,Dealer,22.70962812,75.85133905,,,
PV74,4077743.0,MB,Vigyan Nagar,Apartment,1609,1609,3,10-20 years,South,Yes,No,No,High,Average,No,2325.0,2596,2024,Owner,22.72754377,75.85906076,,,
PV75,2661661.0,MB,Vigyan Nagar,Apartment,1078,1078,2,5-10 years,East,Yes,Yes,Yes,Medium,Poor,No,2233.0,2415,2021,Dealer,22.7179987,75.85336521,,,
PV76,5757882.0,MB,Vigyan Nagar,Apartment,1465,1465,4,10-20 years,West,No,Yes,No,Medium,Average,Yes,3439.0,3754,2019,Dealer,22.71717334,75.86332679,,,
PV77,3377876.0,MB,Vigyan Nagar,Apartment,802,802,2,5-10 years,West,Yes,Yes,Yes,Medium,Average,Yes,3775.0,4388,2024,Dealer,22.72453696,75.85173923,,,
PV78,3842446.0,MB,Vigyan Nagar,Apartment,1461,1461,3,5-10 years,West,Yes,No,Yes,Low,Good,No,2350.0,2596,2019,Owner,22.72368221,75.86328144,,,
PV79,3832714.0,MB,Vigyan Nagar,Apartment,987,987,4,10-20 years,West,Yes,No,No,High,Poor,Yes,3398.0,3885,2018,Dealer,22.72131812,75.86672189,,,
PV80,4685146.0,MB,Vigyan Nagar,Apartment,1833,1833,2,5-10 years,South,No,Yes,Yes,High,Poor,Yes,2223.0,2541,2020,Owner,22.72697811,75.85850088,,,
PV81,4738309.0,MB,Vigyan Nagar,Apartment,1766,1766,4,5-10 years,East,No,Yes,Yes,Low,Poor,Yes,2467.0,2808,2024,Owner,22.7159813,75.85675765,,,
PV82,4191762.0,MB,Vigyan Nagar,Apartment,1733,1733,2,5-10 years,West,Yes,Yes,Yes,Medium,Good,No,2120.0,2324,2022,Owner,22.71502277,75.86118174,,,
PV83,3758201.0,MB,Vigyan Nagar,Apartment,1580,1580,3,0-5 years,West,Yes,Yes,No,Low,Average,No,2152.0,2383,2021,Owner,22.72420124,75.84925945,,,
PV84,4285980.0,MB,Vigyan Nagar,Apartment,1804,1804,4,5-10 years,West,Yes,No,Yes,Low,Poor,Yes,2143.0,2385,2024,Owner,22.71685266,75.84960271,,,
PV85,4748334.0,MB,Vigyan Nagar,Apartment,1154,1154,3,10-20 years,South,Yes,Yes,Yes,High,Good,No,3520.0,3983,2015,Owner,22.72236727,75.8549595,,,
PV86,4137955.0,MB,Vigyan Nagar,Apartment,1694,1694,4,0-5 years,South,No,No,No,Low,Poor,Yes,2152.0,2329,2021,Owner,22.72814697,75.86704121,,,
PV87,5770344.0,MB,Vigyan Nagar,Apartment,1649,1649,2,0-5 years,North,Yes,Yes,Yes,Low,Good,Yes,3308.0,3514,2015,Dealer,22.72085886,75.85701873,,,
PV88,1926057.0,MB,Vigyan Nagar,Apartment,851,851,4,5-10 years,East,No,Yes,No,Low,Good,No,1992.0,2308,2019,Dealer,22.71324303,75.85984782,,,
PV89,2612204.0,MB,Vigyan Nagar,Apartment,997,997,2,0-5 years,South,Yes,Yes,No,High,Average,No,2480.0,2635,2022,Owner,22.72135004,75.86760398,,,
PV90,4297791.0,MB,Vigyan Nagar,Apartment,1633,1633,4,10-20 years,South,No,Yes,Yes,Medium,Good,Yes,2384.0,2528,2016,Dealer,22.71906382,75.86725562,,,
PV91,2946980.0,MB,Vigyan Nagar,Apartment,1131,1131,4,5-10 years,South,No,Yes,No,High,Good,Yes,2407.0,2604,2023,Owner,22.71381444,75.85155637,,,
PV92,6286051.0,MB,Vigyan Nagar,Apartment,1789,1789,2,10-20 years,South,No,No,No,High,Good,Yes,3233.0,3569,2016,Owner,22.71163427,75.85153347,,,
PV93,3940161.0,MB,Vigyan Nagar,Apartment,1023,1023,2,0-5 years,East,Yes,Yes,No,Medium,Poor,No,3285.0,3736,2015,Dealer,22.72574997,75.85750717,,,
PV94,3821188.0,MB,Vigyan Nagar,Apartment,959,959,4,10-20 years,East,No,No,No,Medium,Poor,Yes,3706.0,4028,2022,Owner,22.71437439,75.85447374,,,
PV95,3534667.0,MB,Vigyan Nagar,Apartment,1398,1398,4,5-10 years,South,Yes,Yes,Yes,High,Good,No,2368.0,2498,2019,Owner,22.72149106,75.86244845,,,
PV96,4030992.0,MB,Vigyan Nagar,Apartment,1725,1725,2,5-10 years,South,No,Yes,No,Medium,Poor,Yes,2211.0,2332,2015,Owner,22.729549,75.86405261,,,
PV97,5540443.0,MB,Vigyan Nagar,Apartment,1344,1344,2,0-5 years,West,Yes,Yes,Yes,High,Poor,No,3646.0,4286,2019,Dealer,22.71896845,75.85399139,,,
PV98,4314917.0,MB,Vigyan Nagar,Apartment,1167,1167,3,5-10 years,East,No,No,Yes,High,Good,No,3175.0,3565,2023,Dealer,22.71211371,75.85909091,,,
PV99,3713203.0,MB,Vigyan Nagar,Apartment,1428,1428,2,5-10 years,South,No,Yes,No,Medium,Poor,Yes,2422.0,2492,2015,Owner,22.72229785,75.85612347,,,
PV100,4036138.0,MB,Vigyan Nagar,Apartment,1600,1600,3,0-5 years,South,Yes,No,Yes,High,Average,No,2196.0,2639,2020,Owner,22.72251844,75.85889187,,,
PV101,3900000.0,MB,Vigyan Nagar,Apartment,1577,1577,3,7,East,1.1,2.3,0.9,7,35,6,,5200,2020,Individual,22.724,75.858,,,
PV102,4000000.0,MB,Vigyan Nagar,Apartment,1040,1040,2,5,North,1.3,2.1,1.2,7,30,5,,5500,2021,Individual,22.7242,75.8583,,,
PV103,7200000.0,MB,Vigyan Nagar,Apartment,1250,1250,3,3,South,1.2,2.5,0.8,7,30,6,,5760,2022,Individual,22.7241,75.8582,,,
PV104,6500000.0,MB,Vigyan Nagar,Apartment,1100,1100,2,5,East,1.4,2.4,1,7,28,5,,5909,2021,Individual,22.7243,75.8585,,,
PV105,8500000.0,MB,Vigyan Nagar,Apartment,1400,1400,3,2,North,1,2.2,0.7,7,35,7,,6071,2023,Joint,22.7239,75.8578,,,
PV106,5800000.0,MB,Vigyan Nagar,Apartment,950,950,2,8,West,1.5,2.6,1.3,6,25,4,,6105,2019,Individual,22.7245,75.8587,,,
PV107,7800000.0,MB,Vigyan Nagar,Apartment,1350,1350,3,4,South,1.1,2.3,0.9,7,32,6,,5778,2021,Joint,22.7241,75.8581,,,
PV108,4500000.0,MB,Vigyan Nagar,Apartment,800,800,1,12,East,1.6,2.7,1.4,6,24,4,,5625,2018,Individual,22.7246,75.8589,,,
PV109,9200000.0,MB,Vigyan Nagar,Apartment,1600,1600,4,1,North,0.9,2,0.6,7,38,7,,5750,2023,Joint,22.7238,75.8577,,,
PV110,6800000.0,MB,Vigyan Nagar,Apartment,1150,1150,2,6,South,1.3,2.4,1.1,7,29,5,,5913,2020,Individual,22.7243,75.8584,,,
PV111,8200000.0,MB,Vigyan Nagar,Apartment,1450,1450,3,3,East,1.2,2.5,0.8,7,33,6,,5655,2022,Joint,22.724,75.858,,,
PV112,5500000.0,MB,Vigyan Nagar,Apartment,900,900,2,10,West,1.4,2.6,1.2,6,26,4,,6111,2019,Individual,22.7244,75.8586,,,
PV113,12000000.0,MB,Vigyan Nagar,Independent House,1600,1600,3,8,East,0.9,1.8,1.2,7,40,7,,7500,2021,Joint,22.7238,75.8579,,,
PV114,9500000.0,MB,Vigyan Nagar,Independent House,1300,1300,3,12,North,1.1,2,1.4,7,35,6,,7308,2020,Individual,22.7239,75.858,,,
PV115,15000000.0,MB,Vigyan Nagar,Independent House,1800,1800,4,5,South,0.8,1.6,1,7,45,8,,8333,2022,Joint,22.7237,75.8578,,,
PV116,8000000.0,MB,Vigyan Nagar,Independent House,1000,1000,2,15,West,1.3,2.2,1.5,6,30,5,,8000,2018,Individual,22.7242,75.8583,,,
PV117,18000000.0,MB,Vigyan Nagar,Independent House,2000,2000,4,3,North,0.7,1.5,0.8,7,50,8,,9000,2023,Joint,22.7236,75.8576,,,
PV118,11000000.0,MB,Vigyan Nagar,Independent House,1500,1500,3,10,East,1,1.9,1.3,7,38,7,,7333,2021,Joint,22.7238,75.8579,,,
PV119,6500000.0,MB,Vigyan Nagar,Independent House,800,800,2,20,South,1.4,2.3,1.6,6,28,4,,8125,2017,Individual,22.7243,75.8584,,,
PV120,20000000.0,MB,Vigyan Nagar,Independent House,2200,2200,5,2,North,0.6,1.4,0.7,7,55,9,,9091,2023,Joint,22.7235,75.8575,,,
PV121,4500000.0,MB,Vigyan Nagar,Plot,1200,1200,0,0,Road-facing,1.5,2.2,1,6,30,8,,3750,2023,Individual,22.725,75.859,,,
PV122,6000000.0,MB,Vigyan Nagar,Plot,1500,1500,0,0,Road-facing,1.3,2,0.9,7,40,9,,4000,2022,Joint,22.7248,75.8588,,,
PV123,3500000.0,MB,Vigyan Nagar,Plot,1000,1000,0,0,Road-facing,1.7,2.4,1.3,6,25,7,,3500,2021,Individual,22.7252,75.8592,,,
PV124,7500000.0,MB,Vigyan Nagar,Plot,1800,1800,0,0,Road-facing,1.1,1.8,0.8,7,50,9,,4167,2023,Joint,22.7247,75.8587,,,
PV125,5500000.0,MB,Vigyan Nagar,Plot,1400,1400,0,0,Road-facing,1.4,2.1,1.1,7,35,8,,3929,2022,Individual,22.7249,75.8589,,,
PV126,7600000.0,MB,Vigyan Nagar,Apartment,1300,1300,3,4,South,1.2,2.3,0.9,7,31,6,,5846,2021,Individual,22.7241,75.8581,,,
PV127,4900000.0,MB,Vigyan Nagar,Apartment,850,850,2,9,East,1.5,2.5,1.3,6,26,5,,5765,2020,Individual,22.7244,75.8585,,,
PV128,8800000.0,MB,Vigyan Nagar,Apartment,1500,1500,3,2,North,1,2.1,0.7,7,36,7,,5867,2023,Joint,22.7238,75.8578,,,
PV129,6200000.0,MB,Vigyan Nagar,Apartment,1050,1050,2,7,West,1.4,2.4,1.2,7,27,5,,5905,2021,Individual,22.7243,75.8584,,,
PV130,8100000.0,MB,Vigyan Nagar,Apartment,1420,1420,3,3,South,1.1,2.3,0.8,7,33,6,,5704,2022,Joint,22.724,75.858,,,
PV131,5300000.0,MB,Vigyan Nagar,Apartment,920,920,2,11,East,1.5,2.6,1.3,6,25,4,,5761,2019,Individual,22.7245,75.8586,,,
PV132,8900000.0,MB,Vigyan Nagar,Apartment,1550,1550,3,1,North,0.9,2,0.6,7,37,7,,5742,2023,Joint,22.7238,75.8577,,,
PV133,6700000.0,MB,Vigyan Nagar,Apartment,1120,1120,2,6,South,1.3,2.4,1.1,7,28,5,,5982,2020,Individual,22.7242,75.8583,,,
PV134,8300000.0,MB,Vigyan Nagar,Apartment,1430,1430,3,4,East,1.2,2.5,0.9,7,34,6,,5804,2021,Joint,22.724,75.8581,,,
PV135,5700000.0,MB,Vigyan Nagar,Apartment,980,980,2,9,West,1.4,2.5,1.2,6,26,5,,5816,2020,Individual,22.7244,75.8585,,,
PV136,13000000.0,MB,Vigyan Nagar,Independent House,1650,1650,3,7,East,0.9,1.7,1.1,7,42,7,,7879,2021,Joint,22.7237,75.8578,,,
PV137,10500000.0,MB,Vigyan Nagar,Independent House,1400,1400,3,10,North,1,1.9,1.3,7,36,6,,7500,2020,Individual,22.7238,75.8579,,,
PV138,16000000.0,MB,Vigyan Nagar,Independent House,1850,1850,4,4,South,0.8,1.5,0.9,7,46,8,,8649,2022,Joint,22.7236,75.8577,,,
PV139,8500000.0,MB,Vigyan Nagar,Independent House,1100,1100,2,12,West,1.2,2.1,1.4,6,32,5,,7727,2019,Individual,22.7241,75.8582,,,
PV140,19000000.0,MB,Vigyan Nagar,Independent House,2100,2100,4,2,North,0.6,1.4,0.7,7,52,9,,9048,2023,Joint,22.7235,75.8576,,,
PV141,11500000.0,MB,Vigyan Nagar,Independent House,1550,1550,3,8,East,0.9,1.8,1.2,7,39,7,,7419,2021,Joint,22.7237,75.8578,,,
PV142,7000000.0,MB,Vigyan Nagar,Independent House,950,950,2,18,South,1.3,2.2,1.5,6,29,4,,7368,2018,Individual,22.7242,75.8583,,,
PV143,21000000.0,MB,Vigyan Nagar,Independent House,2300,2300,5,1,North,0.5,1.3,0.6,7,58,9,,9130,2023,Joint,22.7234,75.8575,,,
PV144,5000000.0,MB,Vigyan Nagar,Plot,1300,1300,0,0,Road-facing,1.4,2.1,1,7,32,8,,3846,2022,Individual,22.7249,75.8589,,,
PV145,6500000.0,MB,Vigyan Nagar,Plot,1600,1600,0,0,Road-facing,1.2,1.9,0.8,7,42,9,,4063,2023,Joint,22.7247,75.8587,,,
PV146,4000000.0,MB,Vigyan Nagar,Plot,1100,1100,0,0,Road-facing,1.6,2.3,1.2,6,27,7,,3636,2021,Individual,22.7251,75.8591,,,
PV147,8000000.0,MB,Vigyan Nagar,Plot,1900,1900,0,0,Road-facing,1,1.7,0.7,7,55,9,,4211,2023,Joint,22.7246,75.8586,,,
PV148,5800000.0,MB,Vigyan Nagar,Plot,1450,1450,0,0,Road-facing,1.3,2,0.9,7,37,8,,4000,2022,Individual,22.7248,75.8588,,,
PV149,7400000.0,MB,Vigyan Nagar,Apartment,1280,1280,3,3,South,1.2,2.4,0.8,7,30,6,,5781,2022,Individual,22.7241,75.8582,,,
PV150,5900000.0,MB,Vigyan Nagar,Apartment,1020,1020,2,8,East,1.4,2.5,1.1,7,28,5,,5784,2021,Individual,22.7243,75.8584,,,
PV0001,,,LIG Colony,Independent House,773,773,1,20+ years,South-East,No,Yes,No,High,Average,No,2168.0,2515,1992,Dealer,22.731309,75.852517,,1772920.0,SYN
PV0002,,,Banganga,Independent House,1059,1059,2,5-10 years,North,Yes,Yes,No,High,Average,No,2115.0,2360,2015,Owner,22.715735,75.831967,,3050075.0,SYN
